
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
2025-06-19T08:32:43.163Z - GET /api/data-update/status
2025-06-19T08:32:43.260Z - GET /api/data-update/status
2025-06-19T08:32:43.359Z - GET /api/data-update/status
2025-06-19T08:32:43.470Z - GET /api/data-update/status
2025-06-19T08:32:43.560Z - GET /api/data-update/status
2025-06-19T08:32:43.657Z - GET /api/data-update/status
2025-06-19T08:32:43.752Z - GET /api/data-update/status
2025-06-19T08:32:43.847Z - GET /api/data-update/status
2025-06-19T08:32:43.948Z - GET /api/data-update/status
2025-06-19T08:32:44.039Z - GET /api/data-update/status
2025-06-19T08:32:44.131Z - GET /api/data-update/status
2025-06-19T08:32:44.231Z - GET /api/data-update/status
2025-06-19T08:32:44.328Z - GET /api/data-update/status
2025-06-19T08:32:44.419Z - GET /api/data-update/status
2025-06-19T08:32:44.517Z - GET /api/data-update/status
2025-06-19T08:32:44.616Z - GET /api/data-update/status
2025-06-19T08:32:44.718Z - GET /api/data-update/status
2025-06-19T08:32:44.818Z - GET /api/data-update/status
2025-06-19T08:32:44.910Z - GET /api/data-update/status
2025-06-19T08:32:45.013Z - GET /api/data-update/status
2025-06-19T08:32:45.102Z - GET /api/data-update/status
2025-06-19T08:32:45.196Z - GET /api/data-update/status
2025-06-19T08:32:45.290Z - GET /api/data-update/status
2025-06-19T08:32:45.415Z - GET /api/data-update/status
2025-06-19T08:32:45.522Z - GET /api/data-update/status
2025-06-19T08:32:45.620Z - GET /api/data-update/status
2025-06-19T08:32:45.715Z - GET /api/data-update/status
2025-06-19T08:32:45.842Z - GET /api/data-update/status
2025-06-19T08:32:45.935Z - GET /api/data-update/status
2025-06-19T08:32:46.028Z - GET /api/data-update/status
2025-06-19T08:32:46.121Z - GET /api/data-update/status
2025-06-19T08:32:46.242Z - GET /api/data-update/status
2025-06-19T08:32:46.342Z - GET /api/data-update/status
2025-06-19T08:32:46.443Z - GET /api/data-update/status
2025-06-19T08:32:46.541Z - GET /api/data-update/status
2025-06-19T08:32:46.637Z - GET /api/data-update/status
2025-06-19T08:32:46.734Z - GET /api/data-update/status
2025-06-19T08:32:46.830Z - GET /api/data-update/status
2025-06-19T08:32:46.939Z - GET /api/data-update/status
2025-06-19T08:32:47.031Z - GET /api/data-update/status
2025-06-19T08:32:47.139Z - GET /api/data-update/status
2025-06-19T08:32:47.235Z - GET /api/data-update/status
2025-06-19T08:32:47.322Z - GET /api/data-update/status
2025-06-19T08:32:47.422Z - GET /api/data-update/status
