formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
19/03/2025,7.175059314820144e+06,3942,1040,6.728281212716577e+06,118157.94919374585,328620.15290982375,3707,75,161,2902,64198.83278021737,459.71926085400105,0.5744110783907672,5.089849419527634,66176,6457,104412,0,0,0,0
20/03/2025,6.257556732900601e+06,4989,1643,5.870107883630363e+06,120411.91619989078,267036.9330703501,4782,72,135,3346,53367.49427987803,379.2697730330004,0.5636711232188637,4.07543697063243,57948,5732,106055,0,0,0,0
21/03/2025,3.1033189304576907e+06,4226,2316,2.048330826450861e+06,94987.76879382839,960000.3352130001,3589,57,581,1910,28252.36792326376,144.3789123950002,0.4678820224330096,14.033431059354234,37183,4389,108371,0,0,0,0
22/03/2025,3.206431866537291e+06,3792,2002,2.106509068156387e+06,38638.9147273799,1.0612838836535255e+06,3006,35,752,1790,29226.189152110597,147.49208203900037,0.1863877377368344,15.520565445157537,39938,4483,110373,0,0,0,0
23/03/2025,4.5223771838831315e+06,5289,3034,3.0012470151655697e+06,112661.03770738735,1.4084691310101722e+06,4506,49,735,2255,41378.69853790451,208.47297151300054,0.4908827059172114,20.774764693408148,50071,5066,113407,0,0,0,0
24/03/2025,8.263920904267906e+06,5544,2577,6.576045197477438e+06,137778.15231297046,1.5500975544774989e+06,4710,75,767,2967,75852.24958820872,428.01225776700096,0.6124466397854639,22.86147122071368,72658,8085,115984,0,0,0,0
25/03/2025,7.0586600696562175e+06,5887,3055,5.912772787694175e+06,120048.01393908449,1.0258392680229584e+06,5236,43,611,2832,64634.65696101912,375.73355633900036,0.5675235255340928,15.12936364821186,69024,7209,119039,0,0,0,0
26/03/2025,7.798082826476541e+06,5392,2534,7.008947915914783e+06,140487.50783911944,648647.4027226375,4885,76,433,2858,71147.48856543568,450.9742744910022,0.6594528328632429,10.059914100450815,68910,6789,121573,0,0,0,0
27/03/2025,6.457180644640152e+06,5238,2572,5.06132848324676e+06,122604.44677207158,1.2732477146213236e+06,4607,65,569,2666,59194.64920979736,331.6801017880016,0.5679479521018646,18.952035327933096,64441,6511,124145,0,0,0,0
28/03/2025,6.11320270843166e+06,5116,2546,5.451750562174011e+06,120040.37854278168,541411.7677148675,4691,46,380,2570,56479.184385910754,382.50888485400037,0.5992395939805848,8.026638201130385,62711,6926,126691,0,0,0,0
29/03/2025,5.818771554487945e+06,7756,5317,4.846409631340069e+06,123550.05475492659,848811.8683929503,7280,78,398,2439,52876.01297263937,349.3165623940009,0.607285286859848,12.345142051965444,68224,6437,132008,0,0,0,0
30/03/2025,4.925079574763971e+06,7300,4995,3.9102395647201478e+06,150825.17934603902,864014.8306977823,6804,82,415,2305,45175.90647539874,285.3589388380012,0.7489211021915089,13.208411274545071,71101,5706,137003,0,0,0,0
31/03/2025,6.451701095553367e+06,6722,4151,5.499808309553353e+06,226267.01201371712,725625.773986299,6267,63,394,2571,59494.90411997252,402.57568726600124,1.1476873307080588,11.334237431267063,65955,6371,141154,0,0,0,0
01/04/2025,6.935739994045902e+06,7922,5246,6.354345037933769e+06,59928.134548924834,521466.82156320737,7535,50,338,2676,63718.41795209931,459.30858604400083,0.29893845801756563,7.929951155014724,77816,7666,146400,0,0,0,0
